cliente,poupanca,cdb,renda,segmentacao,seguro
537044639,"1354,00","16,00","66233,00",40,1
876520833,"197,00","7030,00","66838,00",13,1
881113910,"50,00","5101,00","68515,00",40,1
891866209,"269,00","7475,00","74931,00",40,1
810003285,"1371,00","825,00","97359,00",40,0
772612698,"166,00","851,00","73195,00",40,0
744840078,"685,00","7651,00","53712,00",16,0
711514532,"647,00","7767,00","95004,00",45,1
777870066,"310,00","177,00","20096,00",50,0
709097964,"195,00","5751,00","31310,00",40,1
789083045,"1435,00","5779,00","45697,00",80,1
894353969,"1415,00","4853,00","54312,00",40,1
827746498,"13,00","7136,00","61650,00",30,0
744463773,"132,00","2639,00","5341,00",50,1
885255920,"1311,00","736,00","52066,00",40,1
782033622,"670,00","6470,00","49722,00",45,1
798857888,"1438,00","6498,00","5846,00",35,1
767030549,"325,00","9335,00","71266,00",40,1
802243292,"487,00","269,00","77535,00",50,1
816389212,"404,00","586,00","26423,00",45,0
888313014,"1049,00","9832,00","73196,00",60,1
881984033,"375,00","9689,00","39385,00",20,0
884282448,"1290,00","2643,00","47846,00",40,1
830338725,"693,00","7996,00","32755,00",40,1
725534645,"1241,00","6382,00","88120,00",40,0
706209306,"260,00","5860,00","97006,00",40,1
821200090,"143,00","757,00","61325,00",40,1
866285308,"182,00","4053,00","28175,00",60,1
853404116,"1229,00","5265,00","16633,00",80,1
756089240,"128,00","4741,00","12056,00",40,1
768676735,"625,00","4765,00","5005,00",52,1
818224832,"1392,00","7727,00","16082,00",44,1
782483479,"127,00","5068,00","36414,00",40,1
887062413,"1132,00","7766,00","58864,00",40,1
807656210,"991,00","8968,00","50490,00",15,1
895513534,"561,00","3297,00","97680,00",40,1
769249099,"1175,00","9481,00","32795,00",40,1
823618540,"571,00","1823,00","24536,00",25,0
819712936,"1113,00","8922,00","88473,00",38,1
814258818,"783,00","2438,00","81745,00",40,1
710090801,"1477,00","7903,00","53824,00",43,1
804542270,"908,00","7858,00","33300,00",40,1
899135164,"38,00","7665,00","70000,00",50,1
736554192,"684,00","2175,00","13094,00",40,0
839901065,"1311,00","8114,00","55054,00",35,1
860598780,"726,00","2887,00","81798,00",40,1
822677409,"897,00","5778,00","57248,00",38,1
898287072,"557,00","7257,00","34618,00",40,0
877399003,"1468,00","4034,00","50300,00",40,1
840487775,"101,00","630,00","45699,00",43,1
854380867,"474,00","8577,00","41700,00",40,0
793006063,"102,00","3860,00","64151,00",30,0
868904284,"927,00","5366,00","13030,00",60,0
805774985,"716,00","5701,00","67053,00",55,1
875555739,"1289,00","5176,00","38219,00",60,1
712342058,"263,00","5228,00","7965,00",40,1
848096302,"1232,00","7484,00","49569,00",40,1
826643282,"63,00","6435,00","72614,00",40,1
898964815,"36,00","8355,00","39587,00",48,1
782735401,"900,00","8823,00","27486,00",40,1
751364392,"870,00","9308,00","74685,00",40,1
727688193,"820,00","1796,00","30892,00",40,1
851442898,"1076,00","1241,00","62604,00",40,1
783729060,"1399,00","8897,00","99789,00",45,1
806675082,"279,00","4112,00","67566,00",58,1
756615595,"355,00","8532,00","24887,00",40,1
890632045,"443,00","6649,00","73853,00",40,0
784845720,"342,00","7993,00","95706,00",40,0
848452690,"253,00","3228,00","36506,00",50,1
878581899,"1479,00","5767,00","38456,00",40,1
859207812,"126,00","7590,00","45727,00",32,1
796074340,"585,00","5824,00","46757,00",40,0
701789955,"528,00","5405,00","9014,00",70,1
835050192,"548,00","5572,00","11893,00",40,1
773917115,"283,00","2933,00","51240,00",20,1
791249659,"1073,00","4229,00","28815,00",40,1
726375708,"335,00","5250,00","35318,00",40,1
848418331,"866,00","9686,00","76732,00",2,1
896943550,"184,00","527,00","14548,00",22,0
834115971,"553,00","2441,00","61250,00",40,1
813846724,"1492,00","2600,00","57524,00",30,1
702307909,"265,00","4536,00","70850,00",40,1
743561339,"1150,00","1142,00","13041,00",40,0
813624108,"750,00","7795,00","40436,00",48,1
791841466,"765,00","949,00","28947,00",40,0
882285895,"420,00","8962,00","72813,00",35,0
742734432,"65,00","548,00","31134,00",40,1
878018631,"1025,00","3172,00","85775,00",50,1
703853600,"307,00","7110,00","63313,00",40,1
722923394,"592,00","1686,00","88921,00",50,0
786262548,"612,00","3761,00","15782,00",40,1
846529910,"845,00","3974,00","19940,00",40,0
806053434,"583,00","6199,00","76726,00",25,0
874478953,"780,00","8388,00","97705,00",35,0
777271274,"721,00","5022,00","43999,00",40,1
872993514,"434,00","4223,00","62799,00",50,1
750565876,"245,00","5712,00","66445,00",60,1
876126541,"1422,00","1553,00","99570,00",48,1
720288646,"1040,00","9441,00","88394,00",40,0
837477370,"182,00","3515,00","80419,00",40,1
709263688,"349,00","9962,00","54615,00",40,1
802531203,"750,00","9702,00","94034,00",60,1
882846012,"253,00","7394,00","18016,00",50,0
750004705,"1100,00","3964,00","41772,00",40,0
732955276,"434,00","1505,00","32197,00",40,1
836708151,"76,00","6509,00","18383,00",40,1
702486131,"1183,00","749,00","58454,00",32,0
864718795,"305,00","9051,00","31140,00",40,1
837916336,"658,00","9265,00","28400,00",40,0
814483945,"375,00","4433,00","9732,00",40,1
813256989,"1029,00","767,00","52305,00",40,1
823343243,"398,00","4307,00","13861,00",40,1
765035297,"960,00","4080,00","33912,00",50,1
884511099,"1429,00","1959,00","92335,00",25,0
822214933,"264,00","1168,00","13784,00",40,0
773549356,"911,00","3170,00","51885,00",50,1
866412524,"123,00","1075,00","62248,00",50,1
832670453,"633,00","8325,00","8546,00",40,1
879156140,"813,00","6211,00","29305,00",56,1
840850059,"18,00","6,00","53683,00",41,1
740073724,"1292,00","4912,00","52486,00",40,0
730828220,"918,00","4692,00","35180,00",60,1
851740759,"105,00","2928,00","99477,00",40,1
771897464,"1235,00","6292,00","25326,00",50,1
855528304,"744,00","8309,00","68578,00",35,1
787297703,"71,00","6122,00","71952,00",40,0
843369292,"1217,00","8644,00","71955,00",28,0
812569148,"198,00","5277,00","41051,00",40,1
891223633,"143,00","6420,00","10334,00",40,1
799988207,"575,00","4432,00","70489,00",40,1
872616198,"48,00","9784,00","84144,00",60,0
735985993,"1310,00","5020,00","42345,00",40,0
839516588,"645,00","9704,00","44035,00",35,1
843106731,"1025,00","8023,00","40832,00",50,1
770720900,"180,00","5654,00","69661,00",36,0
793612124,"1350,00","9677,00","64526,00",40,1
725604074,"763,00","5695,00","16477,00",60,1
754410702,"851,00","1129,00","97482,00",35,0
747581851,"707,00","1330,00","7971,00",20,1
826845524,"342,00","4134,00","58940,00",40,1
833924381,"730,00","5764,00","15031,00",40,1
832392818,"1148,00","1563,00","28990,00",40,0
826894392,"1038,00","7094,00","72496,00",30,1
847015468,"88,00","7626,00","67284,00",40,0
838861744,"727,00","6360,00","63106,00",40,1
701411954,"787,00","3021,00","58673,00",30,0
857518734,"166,00","7972,00","18856,00",24,1
868460912,"268,00","7883,00","32134,00",24,0
796156655,"29,00","5529,00","85111,00",40,1
757666853,"21,00","5248,00","24342,00",40,0
870859429,"1153,00","5817,00","51810,00",38,0
862371710,"1310,00","8505,00","74600,00",40,0
767244826,"773,00","4541,00","52750,00",40,0
770042132,"718,00","3018,00","52024,00",35,1
772983204,"881,00","8135,00","91715,00",45,1
788332355,"579,00","8746,00","81028,00",46,1
720818026,"1055,00","1369,00","50144,00",40,1
877238980,"323,00","2695,00","82386,00",2,1
735397294,"886,00","2386,00","19172,00",60,1
756015756,"1317,00","6748,00","85945,00",50,1
884220318,"564,00","7431,00","13925,00",20,0
796235671,"583,00","3440,00","84058,00",40,0
779855633,"1211,00","1822,00","64744,00",40,0
871232341,"676,00","4318,00","52897,00",40,0
701863515,"695,00","1556,00","66080,00",40,1
737005921,"1261,00","8595,00","70278,00",40,0
740255705,"1067,00","9136,00","94357,00",42,1
828547695,"142,00","3824,00","68505,00",40,1
798666048,"286,00","5413,00","6870,00",16,1
704555845,"679,00","1644,00","49168,00",20,0
828634123,"1018,00","7126,00","70226,00",40,1
826939579,"1035,00","5501,00","83004,00",40,1
843589652,"631,00","2816,00","77764,00",40,1
761723138,"266,00","278,00","33615,00",50,1
832464232,"711,00","1409,00","41772,00",40,1
705473208,"282,00","6536,00","37621,00",25,0
761668679,"540,00","1229,00","99760,00",40,1
824814858,"180,00","1591,00","69082,00",40,1
726904496,"486,00","8790,00","36143,00",12,1
722731250,"829,00","1644,00","55502,00",65,1
752497140,"137,00","7600,00","16069,00",38,1
869043105,"1398,00","1158,00","96750,00",40,0
798341636,"1121,00","6338,00","98550,00",45,1
736742991,"104,00","8553,00","43458,00",40,1
838958855,"827,00","2165,00","59495,00",42,1
831850589,"996,00","8883,00","20184,00",40,1
844517781,"1461,00","421,00","93708,00",40,0
881414841,"441,00","807,00","76601,00",50,0
792056391,"30,00","3309,00","39327,00",50,0
819600944,"1015,00","4870,00","66245,00",1,1
841726347,"563,00","2018,00","96197,00",28,0
780972246,"954,00","4575,00","96893,00",40,1
856014892,"248,00","3731,00","39964,00",40,1
846741449,"1116,00","9308,00","45179,00",45,1
851006473,"161,00","4459,00","44572,00",24,1
895680718,"1272,00","5819,00","9895,00",40,1
732407083,"754,00","3174,00","23811,00",40,1
866428687,"563,00","1365,00","70796,00",55,0
872961333,"1308,00","2423,00","76520,00",40,1
750121720,"1219,00","9064,00","91432,00",40,1
772866098,"1452,00","5816,00","59379,00",40,0
887740355,"675,00","3442,00","69296,00",40,1
854770837,"676,00","6500,00","55315,00",50,1
759556814,"116,00","9279,00","42495,00",40,0
877023125,"256,00","1045,00","96770,00",35,0
716979385,"1379,00","8772,00","79709,00",40,0
703164617,"540,00","5911,00","21237,00",36,1
740421319,"104,00","3937,00","86673,00",60,1
795627105,"1366,00","4783,00","72057,00",35,0
709209276,"1127,00","2333,00","70007,00",12,0
763566456,"104,00","3081,00","20484,00",40,1
767746572,"1052,00","3172,00","94382,00",40,1
798374128,"729,00","4798,00","39247,00",40,0
